# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.7532506448750413,4.53987681156532,0.00002832195644011973,0,3.0,0.0000842786002281381,0.0,0.0,0.0
 0.08918254000603607,3.765180933037932,4.539876817462598,0.00002832195644011973,0.2675476200181082,3.0000000000000004,0.0000842786002281381,0.0,0.0015677084392943018,0.0
 0.12575610848708424,3.7769725431077497,4.539876835091355,0.00008565864840296703,0.3772683254612527,2.999999999999999,0.00008667166244078933,0.0,0.002093231122738758,0.0
 0.15357071895649763,3.7886265934562133,4.539876864356985,0.00014388105670439842,0.4607121568694929,3.000000000000001,0.00008911933649646769,0.0,0.002543908566417556,0.0
 0.176811684342641,3.8001442024550403,4.539876905164879,0.00020300394764202244,0.530435053027923,3.0000000000000013,0.00009152222286186967,0.0,0.0029584600268758544,0.0
 0.1971054600988211,3.8115264884759497,4.539876957420427,0.0002630422720110636,0.5913163802964634,3.0000000000000013,0.00009408303727680567,0.0,0.0033530019609250114,0.0
 0.21528883701675622,3.822774569890659,4.539877021029022,0.00032401117047313867,0.6458665110502687,2.9999999999999987,0.00009660050692690822,0.0,0.003736188625298782,0.0
 0.23186047556885267,3.8338895650708875,4.5398770958960535,0.0003859259379340442,0.6955814267065581,3.0000000000000018,0.00009928085230045838,0.0,0.004113358575679638,0.0
 0.2471463095878287,3.844872592388353,4.539877181926914,0.00044880205438241485,0.7414389287634863,3.0000000000000036,0.00010202389673286817,0.0,0.004488116639360755,0.0
 0.2613734561136354,3.855724770214774,4.539877279026995,0.0005126551474355113,0.7841203683409063,2.9999999999999982,0.00010493678787063165,0.0,0.004863066349955238,0.0
 0.27470781089346447,3.866447216921869,4.539877387101686,0.0005775009994636629,0.8241234326803936,3.000000000000004,0.00010781144145807539,0.0,0.005240189571237641,0.0
 0.28727502038867847,3.8770410508813553,4.539877506056381,0.000643355559600042,0.8618250611660355,2.9999999999999956,0.00011086141669771824,0.0,0.005621055648278211,0.0
 0.2991730219492554,3.887507390464952,4.53987763579647,0.0007102348884753458,0.8975190658477662,2.999999999999995,0.00011398325326754,0.0,0.006006957663194402,0.0
 0.3104799608925448,3.8978473540443783,4.5398777762273435,0.0007781551920080094,0.9314398826776344,2.999999999999995,0.000117178941733702,0.0,0.006398991682736222,0.0
 0.32125941243989886,3.908062059991351,4.539877927254394,0.0008471328128039861,0.9637782373196966,3.0,0.00012045051319214712,0.0,0.0067981062244118415,0.0
 0.33156395241277836,3.9181526266775895,4.539878088783011,0.0009171841701333189,0.9946918572383351,3.0,0.00012380004000145744,0.0,0.007205150945236314,0.0
 0.3414376737737839,3.928120172474811,4.539878260718588,0.000988325822930568,1.0243130213213516,2.999999999999983,0.00012734178246054788,0.0,0.0076208880520959674,0.0
 0.35091800646275423,3.9379658157547355,4.539878442966514,0.0010605743770498368,1.0527540193882625,3.0,0.00013085470439215896,0.0,0.008046027141292666,0.0
 0.3600370629309705,3.94769067488908,4.539878635432182,0.001133946552896085,1.0801111887929111,2.999999999999982,0.00013456636837285525,0.0,0.008481223298170078,0.0
 0.3688226524031653,3.957295868249563,4.539878838020984,0.0012084590990158216,1.1064679572094955,2.999999999999994,0.00013836697751134878,0.0,0.008927098534882584,0.0
 0.37729905852809636,3.966782514207903,4.5398790506383095,0.0012841288117147634,1.1318971755842886,2.999999999999987,0.00014225892500320002,0.0,0.009384245970180297,0.0
 0.3854876446613567,3.9761517311358188,4.539879273189549,0.0013609725181372861,1.1564629339840695,2.9999999999999862,0.00014636216125309554,0.0,0.009853237771402535,0.0
 0.3934073313602314,3.9854046374050283,4.539879505580097,0.0014390070742563126,1.1802219940806937,3.000000000000007,0.00015032663013052976,0.0,0.010334618548475002,0.0
 0.40107497764333144,3.99454235138725,4.539879747715342,0.0015182492737567835,1.2032249329299938,3.0,0.00015462730963030803,0.0,0.010828928567660507,0.0
 0.40850568874689486,4.0035659914542014,4.539879999500676,0.0015987159135041936,1.225517066240684,3.0,0.00015903176272347687,0.0,0.011336690034282258,0.0
 0.41571306701866345,4.012476675977602,4.539880260841491,0.001680423726931055,1.2471392010559899,3.0000000000000075,0.0001634204423122183,0.0,0.011858414224394298,0.0
 0.4227094183091028,4.0212755233291695,4.5398805316431785,0.0017633893585924604,1.268128254927308,3.000000000000024,0.00016803943264161604,0.0,0.012394600271325822,0.0
 0.4295059231619518,4.029963651880623,4.539880811811128,0.00184762931948565,1.2885177694858552,3.0000000000000164,0.00017289526451021912,0.0,0.012945749844805081,0.0
 0.43611277988974356,4.038542180003679,4.539881101250732,0.0019331600339441094,1.3083383396692305,3.0000000000000084,0.00017786854785900968,0.0,0.013512343059908808,0.0
 0.4425393249918641,4.047012226070057,4.539881399867381,0.0020199977160539387,1.327617974975592,2.9999999999999916,0.00018270765705133272,0.0,0.014094860862978183,0.0
 0.44879413516181466,4.055374908451476,4.539881707566469,0.002108158395123733,1.3463824054854436,2.9999999999999822,0.0001880510062895881,0.0,0.014693768696462807,0.0
 0.45488511421948635,4.063631345519654,4.539882024253383,0.00219765783253216,1.3646553426584587,2.9999999999999907,0.00019326357088135746,0.0,0.01530953864050377,0.0
 0.4608195676117857,4.071782655646309,4.539882349833517,0.0022885115760518356,1.3824587028353568,3.0,0.00019873450190678236,0.0,0.015942613774643028,0.0
